,rating,review_date
11356,4,2016-12-30
11357,4,2016-12-07
11358,5,2016-12-07
11359,1,2016-11-14
11360,4,2016-10-17
11361,5,2016-09-17
11362,5,2016-09-17
11363,4,2016-08-31
11364,5,2016-08-17
11365,4,2016-07-26
11366,4,2016-07-24
11367,5,2016-07-13
11368,5,2016-07-06
11369,4,2016-06-03
11370,3,2016-05-14
11371,3,2016-04-30
11372,4,2016-04-25
11373,2,2016-04-08
11374,4,2016-02-28
11375,3,2016-02-10
11376,3,2016-01-24
11377,4,2015-12-28
11378,3,2015-11-08
11379,2,2015-10-25
11380,2,2015-09-21
11381,3,2015-09-10
